ID,Name,Era,Description,Release Date,Daytime,Web Link,Type,Extracted
,"Stag & Dagger @ Various Venues (Glasgow), 21 May",Plural,,25.05.2011,,https://www.theskinny.co.uk/music/live-music/reviews/stag-dagger-various-venues-glasgow-21-may,Article
neongoldrecords.blogspot.co.uk-2012-05-skin-bone,SKIN + BONE,The Bones of What You Believe,Neon-Gold Blog featuring Churches. Site needs to stopped before it automatically redirects to the home page ,10.05.2012,,http://neongoldrecords.blogspot.co.uk/2012/05/skin-bone.html,Article,extracted
,CHURCHES,The Bones of What You Believe,The Recommender,30.05.2012,,https://web.archive.org/web/20130925121041/http://therecommender.net/2012/05/30/churches/,Article,extracted
,On the Radar - No 207: CHURCHES,The Bones of What You Believe,Radar Scotsman,01.06.2012,,https://web.archive.org/web/20121007061427/http://radar.scotsman.com/viewpost.aspx?id=690,Article,extracted
,Fest foot forward,The Bones of What You Believe,Herald Scotland mentioning Shark Week's first show,10.06.2012,,https://www.heraldscotland.com/life_style/arts_ents/13061157.fest-foot-forward/,Article,extracted
,"Churches (No 1,295)",The Bones of What You Believe,The Guardian,26.06.2012,,https://www.theguardian.com/music/2012/jun/26/new-band-churches,Article,extracted
,"Churches, Art School, Glasgow, 5th July 2012",The Bones of What You Believe,Blog,06.07.2012,,https://everythingflowsglasgow.blogspot.com/2012/07/churches-art-school-glasgow-5th-july.html,Review,extracted
,"Songs of praise: an introduction to CHURCHES, pop messiahs",The Bones of What You Believe,The Pop Cop,17.07.2012,,https://web.archive.org/web/20120721131000/http://thepopcop.co.uk/2012/07/songs-of-praise-an-introduction-to-churches-pop-messiahs/,Interview,extracted
allroyforprez.blogspot.com-2012-07-churches,"School Of Seven Bells / Chvrches, 22.07.12 Stereo, Glasgow",The Bones of What You Believe,Blog,22.07.2012,,https://allroyforprez.blogspot.com/2012/07/churches.html,Review,extracted
,"Uitgelicht: Chvrches @ KOKO, London, 17-08-2012",The Bones of What You Believe,Concert Review ,17.08.2012,,https://www.womeninmusic.nl/2016/08/18/uitgelicht-chvrches-koko-london-17-08-2012/,Review,extracted
,"CHVRCHES at Scottish National Gallery of Modern Art, Edinburgh",The Bones of What You Believe,,28.09.2012,,https://www.electricity-club.co.uk/chvrches-at-scottish-national-gallery-of-modern-art-edinburgh/,,extracted
,Vic's guests in 2012,The Bones of What You Believe,Vic Galloway's 2012 session guests,01.10.2012,,https://www.bbc.co.uk/programmes/p00pxf0s/p00z7tjk,,skipped
www.bbc.com-news-entertainment-arts-20780332,BBC Sound of 2013: Chvrches,The Bones of What You Believe,,01.10.2012,,https://www.bbc.com/news/entertainment-arts-20780332,Interview,extracted
,CHVRCHES BBC Radio 1 Session,The Bones of What You Believe,,05.11.2012,,https://www.danceyrselfclean.com/reviews/track-reviews/chvrches-bbc-radio-1-session,Article,extracted
,Ones to Watch 2013 - #1 Chvrches,The Bones of What You Believe,Blog,08.11.2012,,https://breakingmorewaves.blogspot.com/2012/11/ones-to-watch-2013-1-chvrches.html?m=0,Article,extracted
,CHVRCHES Saviours of Synthpop?,The Bones of What You Believe,The Electricity Club,03.12.2012,,https://web.archive.org/web/20130318152226/https://www.electricity-club.co.uk/blog/chvrches-saviours-of-synthpop/,Article,extracted
,"Eurosonic, Checkt das, neue Bands",The Bones of What You Believe,,10.01.2013,,https://www.yumpu.com/de/document/read/21114377/intro/75,Article,extracted
3voor12.vpro.nl-artikelen-overzicht-2013-Eurosonic-Noorderslag-2013-ESNS13-Chvrches,#ESNS13: CHVRCHES scoort dubbele hitbonus,The Bones of What You Believe,3voor12,12.01.2013,,https://3voor12.vpro.nl/artikelen/overzicht/2013/Eurosonic-Noorderslag-2013/ESNS13-Chvrches.html,Review,extracted
,"– THE RUBY LOUNGE, MANCHESTER –",The Bones of What You Believe,Concert Review ,25.02.2013,,https://www.silentradio.co.uk/02/27/live-chvrches-25022013/,Review,extracted
,"Chvrches: Ruby Lounge, Manchester",The Bones of What You Believe,,25.02.2013,,https://counterfeitmag.co.uk/live-reviews/chvrches-ruby-lounge-manchester/,,extracted
,RISING - Chvrches,The Bones of What You Believe,Pitchfork,27.02.2013,,https://pitchfork.com/features/rising/9077-chvrches/,Interview,extracted
,CHVRCHES return to London and Neu gathers up guides to new bands from Manchester and D.C. respectively,The Bones of What You Believe,DIY,27.02.2013,,https://diymag.com/feature/the-neu-bulletin-27th-february-2013,Review,extracted
