Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Gun,,,Core Track,,1,EP
Recover,,,Core Track,,2,EP
ZVVL,,,Core Track,,3,EP
Now Is Not the Time,,,Core Track,,4,EP
Recover (Cid Rim remix),,,"Core Track, Remix",,5,EP
Gun (Jamie Isaac remix),,,"Bonus Track, Remix",,6,EP
Get Away,,,Core Track,,A,Get Away / Dead Air
Dead Air,,,Core Track,,AA,Get Away / Dead Air
Gun,,,Core Track,,1,Gun EP
Gun (Jamie Isaac remix),,,"Core Track, Remix",,2,Gun EP
Gun (Auntie Flo remix),,,"Core Track, Remix",,3,Gun EP
Gun (Groundislava remix),,,"Core Track, Remix",,4,Gun EP
Gun (DJ Helix remix),,,"Core Track, Remix",,5,Gun EP
Lies (single version),,,Core Track,,1,Lies
It’s Not Right But It’s Okay,,,"Core Track, Cover",Whitney Houston,2,Lies
Lies (Tourist remix),,,"Core Track, Remix",,3,Lies
Lies (Ikonika remix),,,"Core Track, Remix",,4,Lies
Lies (Lxury remix),,,"Core Track, Remix",,5,Lies
Recover,,,Core Track,,1,Recover (Alucard Sessions)
Recover (Alucard session),,,"Core Track, Live Recording",,2,Recover (Alucard Sessions)
The Mother We Share (Alucard session),,,"Core Track, Live Recording",,3,Recover (Alucard Sessions)
Gun (Alucard session),,,"Core Track, Live Recording",,4,Recover (Alucard Sessions)
Recover,,,Core Track,,1,Recover EP
ZVVL,,,Core Track,,2,Recover EP
Now Is Not the Time,,,Core Track,,3,Recover EP
Recover (CID RIM remix),,,"Core Track, Remix",,4,Recover EP
Recover (Curxes’ 1996 remix),,,"Core Track, Remix",,5,Recover EP
Recover (Spotify Sessions),,,"Core Track, Live Recording",,1,Spotify Sessions (live 2014)
Gun (Spotify Sessions),,,"Core Track, Live Recording",,2,Spotify Sessions (live 2014)
Lies (Spotify Sessions),,,"Core Track, Live Recording",,3,Spotify Sessions (live 2014)
Under the Tide (Spotify Sessions),,,"Core Track, Live Recording",,4,Spotify Sessions (live 2014)
The Mother We Share (Spotify Sessions),,,"Core Track, Live Recording",,5,Spotify Sessions (live 2014)
The Mother We Share,,,Core Track,,1,The Bones of What You Believe,Top,,,https://www.youtube.com/watch?v=_mTRvJ9fugM
We Sink,,,Core Track,,2,The Bones of What You Believe,Top
Gun,,,Core Track,,3,The Bones of What You Believe,Top,,,https://www.youtube.com/watch?v=ktoaj1IpTbw
Tether,,,Core Track,,4,The Bones of What You Believe
Lies,,,Core Track,,5,The Bones of What You Believe,Top,,,https://www.youtube.com/watch?v=81RqEnvczV8
Under the Tide,,,Core Track,,6,The Bones of What You Believe
Recover,,,Core Track,,7,The Bones of What You Believe,Top
Night Sky,,,Core Track,,8,The Bones of What You Believe
Science/Visions,,,Core Track,,9,The Bones of What You Believe
Lungs,,,Core Track,,10,The Bones of What You Believe
By the Throat,,,Core Track,,11,The Bones of What You Believe
You Caught the Light,,,Core Track,,12,The Bones of What You Believe
Strong Hand,,,Bonus Track,,,The Bones of What You Believe
Broken Bones,,,Bonus Track,,,The Bones of What You Believe
